canonical_name,entity_name,similarity_score,count,group_id
Foxtel,Foxtel,100.0,102,50
Foxtel,Foxtell,92.3076923076923,1,50
ANZ Bank,ANZ Bank,100.0,89,52
ANZ Bank,ANZ Bank.,94.11764705882352,1,52
ANZ Bank,ANZ bank,87.5,10,53
ANZ Bank,ANZ Bank SA,84.21052631578947,1,54
Bendigo Bank,Bendigo Bank,100.0,87,56
Bendigo Bank,Benigo Bank,95.65217391304348,1,56
Bendigo Bank,"Bendigo Bank, NAB",82.75862068965517,1,57
Bendigo Bank,"Bendigo Bank, ING",82.75862068965517,1,58
Macquarie Bank,Macquarie Bank,100.0,81,60
Macquarie Bank,Maquarie Bank,96.2962962962963,1,60
Macquarie Bank,Macquarie Bank Ltd,87.5,4,61
Macquarie Bank,"CBA, Macquarie Bank",84.84848484848484,2,62
Macquarie Bank,First Macquarie Bank,82.35294117647058,1,63
Tennis Australia,Tennis Australia,100.0,75,65
Tennis Australia,Australian Open Tennis,84.21052631578947,1,65
Tennis Australia,Tennis Aust,81.4814814814815,1,66
Cricket Australia,Cricket Australia,100.0,75,68
Cricket Australia,CropLife Australia,80.0,2,68
St George Bank,St George Bank,100.0,65,70
St George Bank,St. George Bank,96.55172413793103,10,70
Qantas Chairman's Lounge,Qantas Chairman's Lounge,100.0,62,72
Qantas Chairman's Lounge,Chairman's Lounge Qantas,100.0,2,72
Qantas Chairman's Lounge,Qantas Chairmans Lounge,97.87234042553192,13,73
Qantas Chairman's Lounge,Chairmans Lounge Qantas,97.87234042553192,3,74
Qantas Chairman's Lounge,Qantas Chaiman's Lounge,97.87234042553192,1,75
Qantas Chairman's Lounge,Chairmans Lounge Quantas,95.83333333333334,2,76
Qantas Chairman's Lounge,Qantas Chairman Lounge,95.65217391304348,1,77
Qantas Chairman's Lounge,Chairmans Lounge ~ Qantas,93.87755102040816,2,78
Qantas Chairman's Lounge,Qantas Club Chairman's Lounge,90.56603773584906,3,79
Qantas Chairman's Lounge,Qantas Chairman's Lounge - Spouse,84.21052631578947,1,80
Qantas Chairman's Lounge,Qantas Chairmans Lounge 3927960,83.63636363636364,1,81
Qantas Chairman's Lounge,Chairman's Lounge,82.92682926829268,8,82
Qantas Chairman's Lounge,Qantas Chairman's Lounge QFF371983,82.75862068965517,1,83
Qantas Chairman's Lounge,Qantas Chairman's Club,82.6086956521739,3,84
Qantas Chairman's Lounge,Qantas Chairman's Lounge Membership,81.35593220338984,1,85
Qantas Chairman's Lounge,Qantas Chairmans Club,80.0,3,86
Qantas Chairman's Lounge,Qantas Chairman's Lounge Virgin Club,80.0,1,87
Qantas Chairman's Lounge,Chairmans Lounge,80.0,1,88
Tabcorp,Tabcorp,100.0,55,90
Tabcorp,TabCorp,85.71428571428572,3,90
Australian Super,Australian Super,100.0,53,92
Australian Super,AustralianSuper,96.7741935483871,5,92
Australian Super,Australia Super,96.7741935483871,1,93
Australian Super,Australian Paper,87.5,1,94
Australian Super,"MLC, Australian Super",86.48648648648648,1,95
Australian Super,Australian Super fund.,84.21052631578947,1,96
Australian Super,Opera Australia,83.87096774193549,36,97
Australian Super,Australian Open,83.87096774193549,2,98
Australian Super,Sport Australia,83.87096774193549,1,99
Australian Super,Australian Super Account,80.0,3,100
Australian Super,Spectator Australia,80.0,1,101
Australian Super,Australian Super and PSS,80.0,1,102
Bank of Queensland,Bank of Queensland,100.0,51,104
Bank of Queensland,Bank of Queensland/VISA,87.8048780487805,2,104
Bank of Queensland,Bank of Queensland / VISA,83.72093023255813,2,105
Bank of Queensland,Bank Of Queensland,83.33333333333334,1,106
National Press Club,National Press Club,100.0,47,108
National Press Club,The National Press Club,90.47619047619048,2,108
National Press Club,National Press Club Canberra,80.85106382978724,1,109
Emirates,Emirates,100.0,46,111
Emirates,Emivates,87.5,1,111
Bankwest,Bankwest,100.0,45,113
Bankwest,BankWest,87.5,7,113
Bankwest,Bank West,82.35294117647058,19,114
Westpac Bank,Westpac Bank,100.0,42,116
Westpac Bank,Wespac Bankwest,81.4814814814815,1,116
ME Bank,ME Bank,100.0,40,118
ME Bank,Me Bank,85.71428571428572,2,118
ME Bank,Mac Bank,80.0,1,119
Australian Labor Party,Australian Labor Party,100.0,40,121
Australian Labor Party,Australian Labor Party SA,93.61702127659575,1,121
Australian Labor Party,"Australian Labor Party, Qld",89.79591836734694,1,122
Australian Labor Party,Australian Labor Party (QLD),88.0,2,123
Australian Labor Party,ALP (Australian Labor Party),88.0,2,124
Australian Labor Party,Australian Labor Party (ALP),88.0,1,125
Australian Labor Party,Australian Labor party- SA,87.5,1,126
St George,St George,100.0,36,128
St George,St. George,94.73684210526316,3,128
St George,NAB/St George,81.81818181818181,4,129
St George,St George RLC,81.81818181818181,1,130
Qantas Airways,Qantas Airways,100.0,36,132
Qantas Airways,Qatar Airways,88.88888888888889,2,132
Qantas Airways,Qantas Airways Ltd,87.5,3,133
Bank Australia,Bank Australia,100.0,36,135
Bank Australia,Australia Bank,100.0,1,135
Bank Australia,Arab Bank Australia,84.84848484848484,1,136
Bank Australia,Australian,83.33333333333334,1,137
Bank Australia,IBM Australia,81.4814814814815,4,138
Bank Australia,Qantas Australia,80.0,3,139
Bank Australia,Cancer Australia,80.0,1,140
Bank Australia,Ballet Australia,80.0,1,141
Bank SA,Bank SA,100.0,34,143
Bank SA,BankSA,92.3076923076923,1,143
Bank SA,NAB Bank,80.0,1,144
Macquarie,Macquarie,100.0,32,146
Macquarie,Macquarie CMA,81.81818181818181,2,146
Virgin Club,Virgin Club,100.0,31,148
Virgin Club,Virgin The Club,84.61538461538461,9,148
Virgin Club,Virgin VIP Club,84.61538461538461,1,149
Virgin Club,The Club Virgin,84.61538461538461,1,150
Virgin Club,Virgin Blue,81.81818181818181,5,151
Geelong Football Club,Geelong Football Club,100.0,30,153
Geelong Football Club,Glenelg Football Club,90.47619047619048,3,153
Geelong Football Club,"AFL, Geelong Football Club",89.36170212765957,1,154
Geelong Football Club,Melbourne Football Club,81.81818181818181,6,155
Netball Australia,Netball Australia,100.0,29,157
Netball Australia,Basketball Australia,86.48648648648648,3,157
Netball Australia,Football Australia,85.71428571428572,12,158
Netball Australia,Netball Aust,82.75862068965517,1,159
Netball Australia,Shell Australia,81.25,2,160
Netball Australia,shell Australia,81.25,1,161
National Press Club of Australia,National Press Club of Australia,100.0,28,163
National Press Club of Australia,The National Press Club of Australia,94.11764705882352,2,163
National Press Club of Australia,National Press club of Australia,84.375,1,164
National Press Club of Australia,National Party of Australia,81.35593220338984,3,165
ING Direct,ING Direct,100.0,27,167
ING Direct,"CBA, ING Direct",80.0,1,167
Liberal Party of Australia,Liberal Party of Australia,100.0,26,169
Liberal Party of Australia,Liberal Party of Australia WA,94.54545454545455,2,169
Liberal Party of Australia,Liberal Party of Western Australia,86.66666666666667,2,170
Liberal Party of Australia,Liberal Party of Australia WA Division,81.25,1,171
Members Equity,Members Equity,100.0,25,173
Members Equity,Member Equity,96.2962962962963,1,173
Members Equity,members equity,85.71428571428572,1,174
Members Equity,Members Equity Bank,84.84848484848484,23,175
COMMONWEALTH BANK,COMMONWEALTH BANK,100.0,25,177
COMMONWEALTH BANK,COMMON WEALTH BANK,97.14285714285714,3,177
COMMONWEALTH BANK,COMMONWEALTH BANEC.,88.88888888888889,1,178
COMMONWEALTH BANK,"ING, COMMONWEALTH BANK",87.17948717948718,1,179
COMMONWEALTH BANK,COMMONWEALTH,82.75862068965517,1,180
