Name,Party,Electorate,Parliament,Start_Year,End_Year,scraped_date
Tony Burke,Australian Labor Party,Watson,46,2019,2022,2025-03-23
Linda Burney,Australian Labor Party,Barton,46,2019,2022,2025-03-23
Josh Burns,Australian Labor Party,Macnamara,46,2019,2022,2025-03-23
Anthony Albanese,Australian Labor Party,Grayndler,46,2019,2022,2025-03-23
John Alexander,Liberal Party of Australia,Bennelong,46,2019,2022,2025-03-23
Katie Allen,Liberal Party of Australia,Higgins,46,2019,2022,2025-03-23
Anne Aly,Australian Labor Party,Cowan,46,2019,2022,2025-03-23
Nick Champion,Australian Labor Party,Spence,46,2019,2022,2025-03-23
Darren Chester,National Party of Australia,Gippsland,46,2019,2022,2025-03-23
Lisa Chesters,Australian Labor Party,Bendigo,46,2019,2022,2025-03-23
George Christensen [d],Liberal National Party,Dawson,46,2019,2022,2025-03-23
Angie Bell,Liberal National Party,Moncrieff,46,2019,2022,2025-03-23
Sharon Bird,Australian Labor Party,Cunningham,46,2019,2022,2025-03-23
Chris Bowen,Australian Labor Party,McMahon,46,2019,2022,2025-03-23
Russell Broadbent,Liberal Party of Australia,Monash,46,2019,2022,2025-03-23
Tony Smith,Liberal Party of Australia,Casey,46,2019,2022,2025-03-23
Warren Snowdon,Australian Labor Party,Lingiari,46,2019,2022,2025-03-23
Anne Stanley,Australian Labor Party,Werriwa,46,2019,2022,2025-03-23
Zali Steggall,Independent,Warringah,46,2019,2022,2025-03-23
Christian Porter,Liberal Party of Australia,Pearce,46,2019,2022,2025-03-23
Melissa Price,Liberal Party of Australia,Durack,46,2019,2022,2025-03-23
Rowan Ramsey,Liberal Party of Australia,Grey,46,2019,2022,2025-03-23
Amanda Rishworth,Australian Labor Party,Kingston,46,2019,2022,2025-03-23
Ged Kearney,Australian Labor Party,Cooper,46,2019,2022,2025-03-23
Craig Kelly [c],Liberal Party of Australia,Hughes,46,2019,2022,2025-03-23
Dave Sharma,Liberal Party of Australia,Wentworth,46,2019,2022,2025-03-23
Bill Shorten,Australian Labor Party,Maribyrnong,46,2019,2022,2025-03-23
Julian Simmonds,Liberal National Party,Ryan,46,2019,2022,2025-03-23
David Smith,Australian Labor Party,Bean,46,2019,2022,2025-03-23
Madeleine King,Australian Labor Party,Brand,46,2019,2022,2025-03-23
Andrew Laming,Liberal National Party,Bowman,46,2019,2022,2025-03-23
Michelle Landry,Liberal National Party,Capricornia,46,2019,2022,2025-03-23
Julian Leeser,Liberal Party of Australia,Berowra,46,2019,2022,2025-03-23
Steve Irons,Liberal Party of Australia,Swan,46,2019,2022,2025-03-23
Stephen Jones,Australian Labor Party,Whitlam,46,2019,2022,2025-03-23
Barnaby Joyce,National Party of Australia,New England,46,2019,2022,2025-03-23
Bob Katter,Katter's Australian Party,Kennedy,46,2019,2022,2025-03-23
Nola Marino,Liberal Party of Australia,Forrest,46,2019,2022,2025-03-23
Richard Marles,Australian Labor Party,Corio,46,2019,2022,2025-03-23
Fiona Martin,Liberal Party of Australia,Reid,46,2019,2022,2025-03-23
