id,mp_name,party,electorate,declaration_date,category,sub_category,entity,canonical_entity,item,details
26fb8b43-12d7-4810-81aa-1917a466c6d7,John Alexander,Liberal Party of Australia,Bennelong,2013-12-10,Asset,Shares,John Alexander's Clubs P/L,John Alexander's Clubs P/L,Shares,Shares held
c0f6f4b2-64c7-40b8-8936-225873db0ad0,John Alexander,Liberal Party of Australia,Bennelong,2013-12-10,Membership,Other Membership,Gilbert Frank Investments P/L,Gilbert Frank Investments P/L,Gilbert Frank Investments P/L Membership,Investments
534ac3d3-5f37-49fe-a3b1-5a5f8cba3e2b,Karen Andrews,Liberal National Party,McPherson,2013-12-10,Membership,Other Membership,Andrews and Andrews Consulting Pty Ltd,Andrews and Andrews Consulting Pty Ltd,Director of Andrews and Andrews Consulting Pty Ltd,Director of Andrews and Andrews Consulting Pty Ltd
6576ea04-5671-49ff-a7ae-46f56afbeeab,Karen Andrews,Liberal National Party,McPherson,2013-12-10,Liability,Credit,Australian and New Zealand Banking Group Limited (ANZ),Australian and New Zealand Banking Group Limited (ANZ),Line of Credit,Line of Credit
07864e18-19e9-4a96-a69d-cbdce05f6ac3,Karen Andrews,Liberal National Party,McPherson,2013-12-10,Liability,Loan,Australian and New Zealand Banking Group Limited (ANZ),Australian and New Zealand Banking Group Limited (ANZ),Investment Property Loan,Residential Investment Property Loan
f064a3b9-6e00-4ac4-bb12-b26d18092dc2,Karen Andrews,Liberal National Party,McPherson,2013-12-10,Liability,Loan,Andrews and Andrews Consulting Pty Ltd,Andrews and Andrews Consulting Pty Ltd,Loan,Loan
fb34b0aa-14d7-4bda-9404-d1c55a61ad85,Karen Andrews,Liberal National Party,McPherson,2013-12-10,Asset,Other Asset,Australian and New Zealand Banking Group Limited (ANZ),Australian and New Zealand Banking Group Limited (ANZ),Savings and Cheque Account,Savings and cheque account
295b0854-30d8-43ea-ac39-3cd1d8f7829f,Karen Andrews,Liberal National Party,McPherson,2013-12-10,Asset,Other Asset,Australia and New Zealand Banking Group Limited (ANZ),Australian and New Zealand Banking Group Limited (ANZ),Share Trading Account,Share Trading
7109dbd6-7bf7-4df4-af0f-35b2a5a3f53b,Karen Andrews,Liberal National Party,McPherson,2014-05-14,Gift,Entertainment,B. and Z. Davidson/Mischief Shoes,B. and Z. Davidson/Mischief Shoes,Tickets to Charity Ball,2 x tickets Bruce Lynton Charity Ball. Gift from B. and Z. Davidson/Mischief Shoes
61822507-4f15-4db2-8e9b-a3b779cb2177,Karen Andrews,Liberal National Party,McPherson,2015-01-16,Membership,Other Membership,Andrews and Andrews Consulting Pty Limited,Andrews and Andrews Consulting Pty Ltd,Andrews and Andrews Consulting Pty Limited Membership,Andrews and Andrews Consulting Pty Limited
fa60f85a-7c10-476a-beaa-c5456da47275,Kevin Andrews,Liberal Party of Australia,Menzies,2013-12-09,Membership,Other Membership,St. Michael NFP Service P/L,St. Michael NFP Service P/L,St. Michael NFP Service P/L Membership,Resigned as director
667bb8ef-ae93-4a76-9d6b-8c87146656ca,Robert Charles Baldwin,Liberal Party of Australia,Paterson,Unknown,Travel,Other Travel,Council of Small Business Australia and Intuit Inc.,Council of Small Business Australia and Intuit Inc.,Policy Dinner at Rockpool Bar & Grill Sydney,On the 17th October I attended a Council of Small Business Australia and Intuit Inc. Policy Dinner at Rockpool Bar & Grill Sydney.
aa419b8b-5ad0-4b76-a51f-e09074ab08c4,Robert Charles Baldwin,Liberal Party of Australia,Paterson,Unknown,Gift,Hospitality,Council of Small Business Australia and Intuit Inc.,Council of Small Business Australia and Intuit Inc.,Policy Dinner,On the 17th October I attended a Council of Small Business Australia and Intuit Inc. Policy Dinner at Rockpool Bar & Grill Sydney.
439a2cdc-eb39-45d6-b28b-486612dc0d67,Bruce Fredrick Billson,Liberal Party of Australia,Dunkley,2013-12-05,Membership,Other Membership,Exquisart P/L,Exquisart P/L,Exquisart P/L Membership,"Formerly trading as ""Beauty + the Beach"" - aft & fine croft retailing; body products/skin care - continues to be required but inactive"
2340bf39-3d46-4599-a13d-63a8f6bc3627,Bruce Fredrick Billson,Liberal Party of Australia,Dunkley,2013-12-05,Gift,Entertainment,"Grandparent Vic, Business Clubs-Frankston/Mornington/Langwarrin, Frankston & Seaford Vietnam Veterans, Vietnam Veterans Aust America Assoc, Yamaha Park Tennis Club, Richmond Football Club","Grandparent Vic, Business Clubs-Frankston/Mornington/Langwarrin, Frankston & Seaford Vietnam Veterans, Vietnam Veterans Aust America Assoc, Yamaha Park Tennis Club, Richmond Football Club",Membership of various organizations,Membership of various organizations
